opentime,open,high,low,close,volume_USDT,value,signal,position,entry_price,stop_price,stop_loss,stop_profit,unrealized_pnl,realized_pnl,commission
2023-11-28 06:40:00,2012.0,2012.47,2010.15,2010.93,12086021.75076,109873.59279999998,0.0,-40.0,2026.09,0.0,2019.1762341203362,1999.8664980032977,606.3999999999942,0.0,0.0
2023-11-28 06:45:00,2010.94,2011.95,2009.52,2009.83,6608549.07234,109873.59279999998,0.0,-40.0,2026.09,0.0,2023.9861018469799,1997.0097938925082,650.3999999999996,0.0,0.0
2023-11-28 06:50:00,2009.83,2014.16,2009.17,2011.82,13835102.7766,109873.59279999998,0.0,-40.0,2026.09,0.0,2025.17955528736,1997.6351264724933,570.7999999999993,0.0,0.0
2023-11-28 06:55:00,2011.82,2014.5,2011.21,2013.39,10543221.64155,109873.59279999998,0.0,-40.0,2026.09,0.0,2026.2829712970592,1998.7385424821925,507.9999999999927,0.0,0.0
2023-11-28 07:00:00,2013.39,2013.66,2010.66,2010.76,13633544.43464,109873.59279999998,0.0,-40.0,2026.09,0.0,2026.0157648032484,1999.2382215904297,613.1999999999971,0.0,0.0
2023-11-28 07:05:00,2010.77,2013.96,2010.66,2013.63,8287339.97094,109873.59279999998,0.0,-40.0,2026.09,0.0,2026.9037686209833,2000.1262254081646,498.39999999999236,0.0,0.0
2023-11-28 07:10:00,2013.64,2013.87,2008.22,2008.73,13881997.28281,109873.59279999998,0.0,-40.0,2026.09,0.0,2026.6795035709176,1999.2335606986403,694.399999999996,0.0,0.0
2023-11-28 07:15:00,2008.73,2010.34,2007.97,2008.35,8446640.93054,109873.59279999998,0.0,-40.0,2026.09,0.0,2025.6439633455595,1998.9734449641592,709.6000000000004,0.0,0.0
2023-11-28 07:20:00,2008.34,2009.24,2006.0,2006.0,10835287.67383,109873.59279999998,0.0,-40.0,2026.09,0.0,2024.5433199636432,1997.8728015822428,803.5999999999967,0.0,0.0
2023-11-28 07:25:00,2006.0,2006.07,2001.77,2003.6,29632945.45095,109873.59279999998,0.0,-40.0,2026.09,0.0,2023.0305406678333,1996.360022286433,899.6000000000004,0.0,0.0
