opentime,value,unrealized_pnl,realized_pnl,commission
2024-05-18 06:22:00,2957.6673527940725,9.012735999999569,0.0,0.0
2024-05-18 06:23:00,2957.6673527940725,10.081535999999382,0.0,0.0
2024-05-18 06:24:00,2957.6673527940725,10.849535999999382,0.0,0.0
2024-05-18 06:25:00,2957.6673527940725,8.756735999999568,0.0,0.0
2024-05-18 06:26:00,2957.6673527940725,9.038336000000127,0.0,0.0
2024-05-18 06:27:00,2957.6673527940725,10.983935999999755,0.0,0.0
2024-05-18 06:28:00,2957.6673527940725,12.654336000000127,0.0,0.0
2024-05-18 06:29:00,2957.6673527940725,11.310336000000127,0.0,0.0
2024-05-18 06:30:00,2957.6673527940725,12.628735999999568,0.0,0.0
2024-05-18 06:31:00,2957.6673527940725,11.553535999999381,0.0,0.0
2024-05-18 06:32:00,2951.1964139140728,11.233535999999383,-5.616767999999691,0.8541708800000002
2024-05-18 06:33:00,2951.1964139140728,5.613567999999971,0.0,0.0
2024-05-18 06:34:00,2951.1964139140728,6.38156799999997,0.0,0.0
2024-05-18 06:35:00,2951.1964139140728,6.144767999999691,0.0,0.0
2024-05-18 06:36:00,2951.1964139140728,6.31756799999997,0.0,0.0
2024-05-18 06:37:00,2951.1964139140728,5.83756799999997,0.0,0.0
2024-05-18 06:38:00,2957.6353655940725,5.584767999999691,5.584767999999691,-0.8541836800000001
2024-05-18 06:39:00,2957.6353655940725,0.0,0.0,0.0
2024-05-18 06:40:00,2957.6353655940725,0.0,0.0,0.0
2024-05-18 06:41:00,2957.6353655940725,0.0,0.0,0.0
2024-05-18 06:42:00,2957.6353655940725,0.0,0.0,0.0
2024-05-18 06:43:00,2957.6353655940725,0.0,0.0,0.0
2024-05-18 06:44:00,2957.6353655940725,0.0,0.0,0.0
2024-05-18 06:45:00,2957.6353655940725,0.0,0.0,0.0
2024-05-18 06:46:00,2957.6353655940725,0.0,0.0,0.0
2024-05-18 06:47:00,2957.6353655940725,0.0,0.0,0.0
2024-05-18 06:48:00,2957.6353655940725,0.0,0.0,0.0
2024-05-18 06:49:00,2957.6353655940725,0.0,0.0,0.0
2024-05-18 06:50:00,2957.6353655940725,0.0,0.0,0.0
2024-05-18 06:51:00,2957.6353655940725,0.0,0.0,0.0
2024-05-18 06:52:00,2957.6353655940725,0.0,0.0,0.0
2024-05-18 06:53:00,2957.6353655940725,0.0,0.0,0.0
2024-05-18 06:54:00,2957.6353655940725,0.0,0.0,0.0
2024-05-18 06:55:00,2957.6353655940725,0.0,0.0,0.0
2024-05-18 06:56:00,2957.6353655940725,0.0,0.0,0.0
2024-05-18 06:57:00,2957.6353655940725,0.0,0.0,0.0
2024-05-18 06:58:00,2956.7791991940726,0.0,0.0,0.8561664000000001
2024-05-18 06:59:00,2956.7791991940726,-0.31039999999990686,0.0,0.0
