opentime,open,high,low,close,volume,closetime,volume_U,num_trade,taker_buy,taker_buy_volume_U,ignore
2024-05-29 13:44:00,67832.8,67882.8,67807.2,67865.6,167.659,2024-05-29 13:44:59,11377343.9116,2075,118.244,8023742.6207,0.0
2024-05-29 13:45:00,67865.8,67900.0,67800.8,67836.3,91.291,2024-05-29 13:45:59,6194974.2267,2901,34.04,2309928.155,0.0
2024-05-29 13:46:00,67836.3,67889.5,67792.8,67792.8,158.797,2024-05-29 13:46:59,10773597.9926,2952,87.0,5902672.6916,0.0
2024-05-29 13:47:00,67792.8,67911.2,67754.7,67834.2,271.348,2024-05-29 13:47:59,18406533.9849,4448,121.114,8216670.4376,0.0
2024-05-29 13:48:00,67834.1,67862.9,67673.0,67700.9,408.122,2024-05-29 13:48:59,27651842.3196,5389,119.428,8092445.5328,0.0
2024-05-29 13:49:00,67700.8,67731.9,67620.3,67731.3,527.377,2024-05-29 13:49:59,35693113.3818,7023,225.391,15256390.6077,0.0
2024-05-29 13:50:00,67731.3,67866.8,67722.9,67767.6,261.727,2024-05-29 13:50:59,17744769.3324,5411,116.908,7925630.4723,0.0
2024-05-29 13:51:00,67767.7,67810.9,67740.0,67744.9,127.41,2024-05-29 13:51:59,8635789.6511,3266,59.659,4043571.6739,0.0
2024-05-29 13:52:00,67745.0,67830.0,67740.0,67748.5,205.148,2024-05-29 13:52:59,13903452.6583,3559,68.024,4610356.8095,0.0
2024-05-29 13:53:00,67748.6,67856.2,67740.0,67854.5,186.104,2024-05-29 13:53:59,12620054.9123,3131,123.218,8355869.5201,0.0
2024-05-29 13:54:00,67854.5,67957.5,67814.3,67953.7,345.637,2024-05-29 13:54:59,23472100.7085,5172,253.472,17212938.3752,0.0
2024-05-29 13:55:00,67953.7,67970.0,67884.0,67949.7,449.034,2024-05-29 13:55:59,30507497.241,4839,232.304,15785838.5321,0.0
2024-05-29 13:56:00,67949.6,67949.7,67857.6,67908.9,233.811,2024-05-29 13:56:59,15874039.4847,3498,80.249,5448012.7343,0.0
2024-05-29 13:57:00,67908.9,67919.4,67852.6,67859.5,167.451,2024-05-29 13:57:59,11367398.1347,3058,62.953,4272971.0482,0.0
2024-05-29 13:58:00,67859.4,67884.6,67839.7,67869.7,177.029,2024-05-29 13:58:59,12013467.4979,2049,35.929,2438040.172,0.0
2024-05-29 13:59:00,67869.7,67921.6,67851.0,67921.6,122.953,2024-05-29 13:59:59,8346882.1514,1823,95.625,6491762.9848,0.0
2024-05-29 14:00:00,67921.5,67947.0,67882.6,67882.7,214.047,2024-05-29 14:00:59,14539165.5149,2863,113.819,7731316.0466,0.0
2024-05-29 14:01:00,67882.6,67939.7,67845.9,67907.5,132.443,2024-05-29 14:01:59,8992390.8984,2970,48.574,3298368.3205,0.0
2024-05-29 14:02:00,67907.5,67922.4,67865.8,67895.4,81.562,2024-05-29 14:02:59,5537381.107,2361,55.348,3757693.5466,0.0
2024-05-29 14:03:00,67895.4,67908.2,67845.9,67872.6,90.778,2024-05-29 14:03:59,6161915.829,2152,46.647,3166227.307,0.0
2024-05-29 14:04:00,67872.6,67923.8,67846.3,67916.3,91.451,2024-05-29 14:04:59,6207351.9285,1964,58.929,3999682.8918,0.0
2024-05-29 14:05:00,67916.3,67981.9,67910.1,67976.3,345.743,2024-05-29 14:05:59,23494125.6769,4100,228.636,15537110.272,0.0
2024-05-29 14:06:00,67976.2,68000.0,67943.7,67984.1,187.309,2024-05-29 14:06:59,12734069.7275,3297,118.708,8070372.4043,0.0
2024-05-29 14:07:00,67984.0,68007.6,67934.3,67938.8,156.567,2024-05-29 14:07:59,10643980.8044,2115,91.99,6254357.461,0.0
2024-05-29 14:08:00,67940.0,67964.3,67910.6,67940.0,197.066,2024-05-29 14:08:59,13387535.3957,2608,53.852,3658356.2553,0.0
2024-05-29 14:09:00,67939.9,67960.0,67927.3,67933.1,78.858,2024-05-29 14:09:59,5358215.1339,1390,34.815,2365707.5503,0.0
2024-05-29 14:10:00,67933.2,67988.0,67919.9,67979.5,218.494,2024-05-29 14:10:59,14846201.4917,2775,131.001,8902082.2611,0.0
2024-05-29 14:11:00,67979.5,67979.5,67876.4,67902.5,123.325,2024-05-29 14:11:59,8377339.102,2529,48.991,3327523.633,0.0
2024-05-29 14:12:00,67902.5,67939.7,67890.8,67927.0,49.739,2024-05-29 14:12:59,3378209.9232,1567,34.039,2311830.4175,0.0
2024-05-29 14:13:00,67927.1,67955.1,67927.0,67955.1,30.059,2024-05-29 14:13:59,2042341.4083,1400,21.167,1438167.9457,0.0
2024-05-29 14:14:00,67955.1,67980.0,67920.0,67935.1,62.421,2024-05-29 14:14:59,4241562.3429,1762,24.917,1693019.8977,0.0
2024-05-29 14:15:00,67935.1,67983.6,67920.0,67956.8,113.923,2024-05-29 14:15:59,7740847.4149,2089,45.822,3113495.6138,0.0
2024-05-29 14:16:00,67956.8,68003.5,67950.0,67995.8,206.12,2024-05-29 14:16:59,14010459.7176,2558,109.19,7421897.7901,0.0
2024-05-29 14:17:00,67995.8,68001.2,67958.1,67979.0,81.486,2024-05-29 14:17:59,5539810.096,1674,51.76,3518769.4733,0.0
2024-05-29 14:18:00,67979.0,67995.2,67959.0,67964.0,45.344,2024-05-29 14:18:59,3082409.0614,1123,19.603,1332549.9225,0.0
2024-05-29 14:19:00,67963.7,67969.4,67943.1,67956.8,41.527,2024-05-29 14:19:59,2821918.7141,935,17.555,1192912.5425,0.0
2024-05-29 14:20:00,67956.7,67987.7,67884.6,67953.6,99.928,2024-05-29 14:20:59,6788794.7649,2361,47.815,3248403.7374,0.0
2024-05-29 14:21:00,67953.6,67970.0,67936.9,67943.8,76.414,2024-05-29 14:21:59,5192320.836,1626,53.487,3634402.2355,0.0
2024-05-29 14:22:00,67943.7,67943.8,67885.8,67885.8,78.704,2024-05-29 14:22:59,5345057.5864,1373,26.429,1794897.4377,0.0
2024-05-29 14:23:00,67885.8,67885.9,67787.1,67809.9,241.231,2024-05-29 14:23:59,16361422.4045,3816,81.932,5556562.5666,0.0
2024-05-29 14:24:00,67809.9,67907.9,67809.9,67902.0,90.074,2024-05-29 14:24:59,6111703.5192,2194,60.113,4078415.5427,0.0
2024-05-29 14:25:00,67902.0,67948.0,67891.8,67922.2,93.012,2024-05-29 14:25:59,6318460.0682,2005,51.651,3508629.3798,0.0
2024-05-29 14:26:00,67922.0,67931.1,67861.5,67862.2,77.047,2024-05-29 14:26:59,5231154.2459,1684,39.98,2714366.9118,0.0
2024-05-29 14:27:00,67862.1,67872.0,67813.8,67847.5,100.592,2024-05-29 14:27:59,6824347.0656,2137,61.184,4150924.9632,0.0
2024-05-29 14:28:00,67846.0,67849.0,67767.0,67769.7,265.341,2024-05-29 14:28:59,17991212.6318,3478,85.096,5769491.9588,0.0
2024-05-29 14:29:00,67769.7,67769.7,67666.1,67705.0,528.839,2024-05-29 14:29:59,35804758.6159,6429,189.116,12802780.8456,0.0
2024-05-29 14:30:00,67705.0,67830.5,67688.3,67808.0,432.55,2024-05-29 14:30:59,29307473.5731,5851,308.851,20926646.5256,0.0
2024-05-29 14:31:00,67808.1,67822.3,67703.3,67703.3,155.799,2024-05-29 14:31:59,10557201.3677,2958,52.502,3558204.7612,0.0
2024-05-29 14:32:00,67703.3,67743.2,67549.4,67594.2,1302.169,2024-05-29 14:32:59,88075442.4821,14416,276.92,18730404.6446,0.0
2024-05-29 14:33:00,67594.1,67713.5,67580.4,67669.0,442.747,2024-05-29 14:33:59,29948674.3645,5742,279.215,18886604.5707,0.0
2024-05-29 14:34:00,67668.9,67768.2,67660.0,67747.7,214.931,2024-05-29 14:34:59,14555858.5487,3780,156.936,10629296.2236,0.0
2024-05-29 14:35:00,67747.8,67788.0,67704.6,67772.2,277.501,2024-05-29 14:35:59,18805507.9314,3612,123.412,8363080.1767,0.0
2024-05-29 14:36:00,67772.6,67820.3,67759.0,67793.5,157.05,2024-05-29 14:36:59,10646705.7378,3080,116.82,7919347.7871,0.0
2024-05-29 14:37:00,67793.4,67848.3,67750.4,67783.9,226.572,2024-05-29 14:37:59,15363831.6624,3850,129.623,8789886.9494,0.0
2024-05-29 14:38:00,67784.0,67814.1,67767.2,67794.7,66.076,2024-05-29 14:38:59,4479121.7567,2083,30.101,2040396.4651,0.0
2024-05-29 14:39:00,67795.2,67884.4,67795.2,67871.0,205.475,2024-05-29 14:39:59,13942901.8112,3218,126.619,8591984.4696,0.0
2024-05-29 14:40:00,67870.9,67880.0,67813.2,67815.6,69.018,2024-05-29 14:40:59,4682292.0492,2032,29.988,2034360.6812,0.0
2024-05-29 14:41:00,67815.6,67846.2,67800.0,67814.0,85.524,2024-05-29 14:41:59,5800249.7934,1748,32.728,2219672.3841,0.0
2024-05-29 14:42:00,67814.0,67814.0,67769.4,67790.2,56.741,2024-05-29 14:42:59,3846558.1092,1417,14.529,984933.9927,0.0
2024-05-29 14:43:00,67790.1,67792.9,67771.3,67771.3,32.533,2024-05-29 14:43:59,2205078.563,1103,15.757,1068013.797,0.0
2024-05-29 14:44:00,67771.2,67771.2,67734.0,67753.2,80.518,2024-05-29 14:44:59,5454661.0329,1792,30.232,2047966.9295,0.0
2024-05-29 14:45:00,67753.1,67783.1,67702.0,67702.0,183.15,2024-05-29 14:45:59,12411196.7847,2389,130.58,8849413.1464,0.0
2024-05-29 14:46:00,67702.0,67775.4,67691.6,67775.4,101.668,2024-05-29 14:46:59,6886328.8467,1879,66.231,4486394.9584,0.0
2024-05-29 14:47:00,67775.4,67788.0,67741.2,67745.4,72.872,2024-05-29 14:47:59,4937970.1229,1426,34.939,2367401.194,0.0
2024-05-29 14:48:00,67745.3,67780.5,67722.0,67775.4,59.231,2024-05-29 14:48:59,4012938.7503,1096,32.538,2204487.0138,0.0
2024-05-29 14:49:00,67775.4,67780.5,67764.8,67779.5,47.548,2024-05-29 14:49:59,3222612.9572,887,33.538,2273072.2872,0.0
2024-05-29 14:50:00,67779.6,67814.4,67774.1,67774.1,87.349,2024-05-29 14:50:59,5921764.9293,1481,42.584,2886957.9746,0.0
2024-05-29 14:51:00,67774.1,67780.2,67712.5,67780.1,68.927,2024-05-29 14:51:59,4669491.9809,1856,31.403,2127555.5357,0.0
2024-05-29 14:52:00,67780.1,67800.0,67770.9,67782.5,33.748,2024-05-29 14:52:59,2287715.8802,963,20.08,1361206.2434,0.0
2024-05-29 14:53:00,67782.5,67782.6,67725.0,67732.8,43.227,2024-05-29 14:53:59,2928334.4021,998,16.694,1130820.6855,0.0
2024-05-29 14:54:00,67733.2,67759.3,67727.1,67759.3,23.127,2024-05-29 14:54:59,1566739.3165,793,14.398,975375.2819,0.0
2024-05-29 14:55:00,67759.2,67765.7,67735.6,67735.6,32.044,2024-05-29 14:55:59,2170727.4596,767,14.049,951683.593,0.0
2024-05-29 14:56:00,67735.6,67743.4,67718.3,67718.3,47.626,2024-05-29 14:56:59,3225654.3999,917,23.401,1584936.7602,0.0
2024-05-29 14:57:00,67718.0,67718.1,67671.9,67684.6,107.844,2024-05-29 14:57:59,7299530.0309,2005,38.301,2592284.404,0.0
2024-05-29 14:58:00,67684.5,67712.0,67664.7,67669.0,95.468,2024-05-29 14:58:59,6461997.0766,1585,54.04,3657997.0478,0.0
2024-05-29 14:59:00,67669.0,67682.1,67663.1,67670.4,56.638,2024-05-29 14:59:59,3832812.1264,1145,38.873,2630622.2051,0.0
2024-05-29 15:00:00,67670.4,67683.6,67632.6,67640.2,127.751,2024-05-29 15:00:59,8643040.2514,2304,41.75,2824692.2034,0.0
2024-05-29 15:01:00,67640.2,67660.0,67629.0,67635.6,67.733,2024-05-29 15:01:59,4581742.4424,1284,33.444,2262339.0022,0.0
2024-05-29 15:02:00,67635.5,67668.6,67635.5,67640.0,64.766,2024-05-29 15:02:59,4381430.5727,1347,41.426,2802531.2039,0.0
2024-05-29 15:03:00,67640.1,67676.9,67626.5,67640.5,73.06,2024-05-29 15:03:59,4942785.5367,1387,42.9,2902441.7559,0.0
2024-05-29 15:04:00,67640.5,67711.6,67640.0,67704.8,79.803,2024-05-29 15:04:59,5401344.0378,1522,57.097,3864232.9785,0.0
2024-05-29 15:05:00,67704.7,67707.0,67670.8,67673.5,82.468,2024-05-29 15:05:59,5582106.464,1183,28.442,1925147.556,0.0
2024-05-29 15:06:00,67673.4,67684.7,67635.0,67640.1,83.334,2024-05-29 15:06:59,5638525.5308,1437,22.586,1528195.2849,0.0
2024-05-29 15:07:00,67640.0,67650.4,67635.0,67645.0,84.999,2024-05-29 15:07:59,5749525.0507,1123,37.538,2539087.5924,0.0
2024-05-29 15:08:00,67645.0,67652.5,67630.8,67636.7,81.324,2024-05-29 15:08:59,5500967.5641,1323,23.742,1605998.1012,0.0
2024-05-29 15:09:00,67636.7,67643.3,67617.0,67630.1,91.341,2024-05-29 15:09:59,6177198.5566,1456,51.61,3490372.8665,0.0
2024-05-29 15:10:00,67630.0,67635.7,67524.3,67544.8,552.349,2024-05-29 15:10:59,37317393.8257,6604,109.93,7427270.5828,0.0
2024-05-29 15:11:00,67544.7,67609.4,67540.0,67559.9,191.53,2024-05-29 15:11:59,12942102.8359,2812,107.501,7263829.2112,0.0
2024-05-29 15:12:00,67560.0,67593.5,67559.9,67589.3,109.594,2024-05-29 15:12:59,7405964.0241,2133,61.051,4125554.4662,0.0
2024-05-29 15:13:00,67589.4,67633.9,67589.3,67618.8,132.136,2024-05-29 15:13:59,8933590.4464,2154,108.926,7364146.357,0.0
2024-05-29 15:14:00,67618.8,67631.1,67605.1,67605.1,30.087,2024-05-29 15:14:59,2034467.7771,1025,18.914,1278949.8058,0.0
2024-05-29 15:15:00,67605.2,67618.8,67571.8,67602.0,115.127,2024-05-29 15:15:59,7782499.7105,1672,52.656,3559494.257,0.0
2024-05-29 15:16:00,67602.1,67607.8,67555.8,67575.4,117.287,2024-05-29 15:16:59,7925492.3128,1966,44.031,2975201.5653,0.0
2024-05-29 15:17:00,67575.5,67594.6,67561.5,67561.6,76.584,2024-05-29 15:17:59,5175365.725,1159,33.897,2290765.0306,0.0
2024-05-29 15:18:00,67561.5,67653.3,67350.0,67601.5,1406.538,2024-05-29 15:18:59,94925617.9399,16973,498.202,33632671.3095,0.0
2024-05-29 15:19:00,67601.5,67716.1,67580.0,67709.5,419.582,2024-05-29 15:19:59,28388308.6943,5043,335.528,22701432.6038,0.0
2024-05-29 15:20:00,67709.5,67761.4,67692.0,67724.4,280.829,2024-05-29 15:20:59,19019293.2632,3855,175.604,11892924.988,0.0
2024-05-29 15:21:00,67724.4,67784.2,67686.9,67751.0,241.437,2024-05-29 15:21:59,16356082.6078,3748,133.537,9047763.4143,0.0
2024-05-29 15:22:00,67751.1,67828.4,67741.2,67820.1,320.919,2024-05-29 15:22:59,21755446.5079,3791,243.202,16487591.8487,0.0
